"sample_id","db_id","date","time","type","uM","ppm","note","nutrient"
"PMK-06","23AA-06",2023-09-08,,"Lab",0.16,0.005,,"PO4"
"PMK-07","23AA-07",2023-09-08,,"Lab",0.07,0.0022,"A","PO4"
"PMK-09","23AA-09",2023-09-08,,"Lab",0.01,3e-04,,"PO4"
"PMK-10","23AA-10",2023-09-08,,"Lab",0.16,0.005,,"PO4"
"PMK-11","23AA-11",2023-09-10,,"Lab",0.13,0.004,,"PO4"
"PMK-12","23AA-12",2023-09-10,,"Lab",0.1,0.0031,,"PO4"
"PMK-13","23AA-13",2023-09-10,,"Lab",0.02,6e-04,,"PO4"
"PMK-14","23AA-14",2023-09-10,,"Lab",0.12,0.0037,,"PO4"
"PMK-15","23AA-15",2023-09-10,,"Lab",0.15,0.0046,,"PO4"
"PMK-16","23AA-16",2023-09-10,,"Lab",0.06,0.0019,"A","PO4"
