date,v,J,substrate,replicate,z,pH_T_avg,H_avg
10/9/2023,1,1,eAE,a,7000,8.109,7.7804
10/9/2023,1,1,eAE,a,7500,8.107,7.8163
10/9/2023,1,1,eAE,a,8000,8.0943,8.0482
10/9/2023,1,1,eAE,a,9000,8.0744,8.4256
10/9/2023,1,1,eAE,a,10000,8.0633,8.6437
10/9/2023,1,1,eAE,a,11000,8.0658,8.5941
10/9/2023,1,1,eAE,a,12000,8.0475,8.964
10/9/2023,1,1,eAE,a,13000,8.0322,9.2854
10/9/2023,1,1,eAE,a,14000,8.0312,9.3068
10/9/2023,1,1,eAE,a,15000,8.0253,9.4341
10/9/2023,1,1,eAE,a,17500,8.0228,9.4886
10/9/2023,1,1,eAE,a,20000,8.0209,9.5302
10/9/2023,1,1,eAE,a,22500,8.0206,9.5367
10/9/2023,1,1,eAE,a,25000,8.0203,9.5433
10/9/2023,1,1,eAE,b,0,8.8496,1.4138
10/9/2023,1,1,eAE,b,100,8.7265,1.8772
10/9/2023,1,1,eAE,b,200,8.6577,2.1994
10/9/2023,1,1,eAE,b,300,8.5504,2.8158
10/9/2023,1,1,eAE,b,400,8.4821,3.2953
10/9/2023,1,1,eAE,b,500,8.3785,4.1831
10/9/2023,1,1,eAE,b,750,8.3314,4.6623
10/9/2023,1,1,eAE,b,1000,8.2817,5.2276
10/9/2023,1,1,eAE,b,1250,8.2355,5.8143
10/9/2023,1,1,eAE,b,1500,8.2225,5.991
10/9/2023,1,1,eAE,b,1750,8.2058,6.2259
10/9/2023,1,1,eAE,b,2000,8.1884,6.4804
10/9/2023,1,1,eAE,b,2250,8.1701,6.7593
10/9/2023,1,1,eAE,b,2500,8.1683,6.7873
10/9/2023,1,1,eAE,b,2750,8.1658,6.8265
10/9/2023,1,1,eAE,b,3000,8.1586,6.9406
10/9/2023,1,1,eAE,b,3500,8.1529,7.0323
10/9/2023,1,1,eAE,b,4000,8.1467,7.1335
10/9/2023,1,1,eAE,b,4500,8.1364,7.3047
10/9/2023,1,1,eAE,b,5000,8.1378,7.2812
10/9/2023,1,1,eAE,b,5500,8.1236,7.5232
10/9/2023,1,1,eAE,b,6000,8.1093,7.775
10/9/2023,1,1,eAE,b,6500,8.0953,8.0297
10/9/2023,1,1,eAE,b,7000,8.0853,8.2167
10/9/2023,1,1,eAE,b,7500,8.08,8.3176
10/9/2023,1,1,eAE,b,8000,8.0675,8.5605
10/9/2023,1,1,eAE,b,9000,8.0542,8.8267
10/9/2023,1,1,eAE,b,10000,8.0428,9.0615
10/9/2023,1,1,eAE,b,11000,8.0345,9.2363
10/9/2023,1,1,eAE,b,12000,8.029,9.3541
10/9/2023,1,1,eAE,b,13000,8.0234,9.4755
10/9/2023,1,1,eAE,b,14000,8.0204,9.5411
10/9/2023,1,1,eAE,b,15000,8.0207,9.5345
10/9/2023,1,1,eAE,b,17500,8.0202,9.5455
10/9/2023,1,1,eAE,b,20000,8.0192,9.5675
10/9/2023,1,1,eAE,b,22500,8.0208,9.5324
10/9/2023,1,1,eAE,b,25000,8.021,9.528
10/9/2023,1,1,eAE,c,0,8.8662,1.3608
10/9/2023,1,1,eAE,c,100,8.7209,1.9015
10/9/2023,1,1,eAE,c,200,8.6761,2.1081
10/9/2023,1,1,eAE,c,300,8.5597,2.7561
10/9/2023,1,1,eAE,c,400,8.4891,3.2426
10/9/2023,1,1,eAE,c,500,8.4233,3.7731
10/9/2023,1,1,eAE,c,750,8.4149,3.8468
10/9/2023,1,1,eAE,c,1000,8.3929,4.0467
10/9/2023,1,1,eAE,c,1250,8.3825,4.1448
10/9/2023,1,1,eAE,c,1500,8.3474,4.4937
10/9/2023,1,1,eAE,c,1750,8.3323,4.6526
10/9/2023,1,1,eAE,c,2000,8.3231,4.7523
10/9/2023,1,1,eAE,c,2250,8.2974,5.042
10/9/2023,1,1,eAE,c,2500,8.2716,5.3506
10/9/2023,1,1,eAE,c,2750,8.2652,5.43
10/9/2023,1,1,eAE,c,3000,8.2529,5.586
10/9/2023,1,1,eAE,c,3500,8.2339,5.8358
10/9/2023,1,1,eAE,c,4000,8.2193,6.0353
10/9/2023,1,1,eAE,c,4500,8.2012,6.2922
10/9/2023,1,1,eAE,c,5000,8.1768,6.6558
10/9/2023,1,1,eAE,c,5500,8.1615,6.8945
10/9/2023,1,1,eAE,c,6000,8.1492,7.0925
10/9/2023,1,1,eAE,c,6500,8.1226,7.5405
10/9/2023,1,1,eAE,c,7000,8.1024,7.8995
10/9/2023,1,1,eAE,c,7500,8.0862,8.1997
10/9/2023,1,1,eAE,c,8000,8.0732,8.4489
10/9/2023,1,1,eAE,c,9000,8.06,8.7096
10/9/2023,1,1,eAE,c,10000,8.0434,9.049
10/9/2023,1,1,eAE,c,11000,8.0313,9.3046
10/9/2023,1,1,eAE,c,12000,8.0271,9.3951
10/9/2023,1,1,eAE,c,13000,8.0205,9.5389
10/9/2023,1,1,eAE,c,14000,8.0194,9.5631
10/9/2023,1,1,eAE,c,15000,8.0204,9.5411
10/9/2023,1,1,eAE,c,17500,8.0204,9.5411
10/9/2023,1,1,eAE,c,20000,8.0219,9.5082
10/9/2023,1,1,eAE,c,22500,8.0193,9.5653
10/9/2023,1,1,eAE,c,25000,8.0206,9.5367
10/9/2023,3,1,eAE,a,0,8.8541,1.3993
10/9/2023,3,1,eAE,a,100,8.7156,1.9249
10/9/2023,3,1,eAE,a,200,8.5652,2.7214
10/9/2023,3,1,eAE,a,300,8.4398,3.6325
10/9/2023,3,1,eAE,a,400,8.3715,4.2511
10/9/2023,3,1,eAE,a,500,8.3125,4.8697
10/9/2023,3,1,eAE,a,750,8.2775,5.2784
10/9/2023,3,1,eAE,a,1000,8.2434,5.7095
10/9/2023,3,1,eAE,a,1250,8.2248,5.9594
10/9/2023,3,1,eAE,a,1500,8.1884,6.4804
10/9/2023,3,1,eAE,a,1750,8.1885,6.4789
10/9/2023,3,1,eAE,a,2000,8.1563,6.9775
10/9/2023,3,1,eAE,a,2250,8.1247,7.5041
10/9/2023,3,1,eAE,a,2500,8.0899,8.1302
10/9/2023,3,1,eAE,a,2750,8.0726,8.4606
10/9/2023,3,1,eAE,a,3000,8.0546,8.8186
10/9/2023,3,1,eAE,a,3500,8.0451,9.0136
10/9/2023,3,1,eAE,a,4000,8.0354,9.2172
10/9/2023,3,1,eAE,a,4500,8.0285,9.3648
10/9/2023,3,1,eAE,a,5000,8.0291,9.3519
10/9/2023,3,1,eAE,a,5500,8.0246,9.4493
10/9/2023,3,1,eAE,a,6000,8.0227,9.4907
10/9/2023,3,1,eAE,a,6500,8.0206,9.5367
10/9/2023,3,1,eAE,a,7000,8.0201,9.5477
10/9/2023,3,1,eAE,a,7500,8.0204,9.5411
10/9/2023,3,1,eAE,a,8000,8.0202,9.5455
10/9/2023,3,1,eAE,a,9000,8.0197,9.5565
10/9/2023,3,1,eAE,a,10000,8.0202,9.5455
10/9/2023,3,1,eAE,a,11000,8.0201,9.5477
10/9/2023,3,1,eAE,a,12000,8.0192,9.5675
10/9/2023,3,1,eAE,a,13000,8.0203,9.5433
10/9/2023,3,1,eAE,a,14000,8.0213,9.5214
10/9/2023,3,1,eAE,a,15000,8.0199,9.5521
10/9/2023,3,1,eAE,a,17500,8.0207,9.5345
10/9/2023,3,1,eAE,a,20000,8.0208,9.5324
10/9/2023,3,1,eAE,a,22500,8.0201,9.5477
10/9/2023,3,1,eAE,a,25000,8.0202,9.5455
10/9/2023,3,1,eAE,b,0,8.8787,1.3222
10/9/2023,3,1,eAE,b,100,8.6557,2.2095
10/9/2023,3,1,eAE,b,200,8.5158,3.0493
10/9/2023,3,1,eAE,b,300,8.4671,3.4111
10/9/2023,3,1,eAE,b,400,8.3815,4.1543
10/9/2023,3,1,eAE,b,500,8.3476,4.4916
10/9/2023,3,1,eAE,b,750,8.3144,4.8484
10/9/2023,3,1,eAE,b,1000,8.3046,4.9591
10/9/2023,3,1,eAE,b,1250,8.2718,5.3481
10/9/2023,3,1,eAE,b,1500,8.2637,5.4488
10/9/2023,3,1,eAE,b,1750,8.2463,5.6715
10/9/2023,3,1,eAE,b,2000,8.2216,6.0034
10/9/2023,3,1,eAE,b,2250,8.2105,6.1589
10/9/2023,3,1,eAE,b,2500,8.1892,6.4684
10/9/2023,3,1,eAE,b,2750,8.1511,7.0615
10/9/2023,3,1,eAE,b,3000,8.134,7.3451
10/9/2023,3,1,eAE,b,3500,8.1072,7.8127
10/9/2023,3,1,eAE,b,4000,8.0878,8.1696
10/9/2023,3,1,eAE,b,4500,8.0582,8.7458
10/9/2023,3,1,eAE,b,5000,8.0496,8.9207
10/9/2023,3,1,eAE,b,5500,8.0399,9.1222
10/9/2023,3,1,eAE,b,6000,8.0309,9.3132
10/9/2023,3,1,eAE,b,6500,8.0231,9.482
10/9/2023,3,1,eAE,b,7000,8.0215,9.517
10/9/2023,3,1,eAE,b,7500,8.0211,9.5258
10/9/2023,3,1,eAE,b,8000,8.0217,9.5126
10/9/2023,3,1,eAE,b,9000,8.0212,9.5236
10/9/2023,3,1,eAE,b,10000,8.0205,9.5389
10/9/2023,3,1,eAE,b,11000,8.0197,9.5565
10/9/2023,3,1,eAE,b,12000,8.0201,9.5477
10/9/2023,3,1,eAE,b,13000,8.0205,9.5389
10/9/2023,3,1,eAE,b,14000,8.0204,9.5411
10/9/2023,3,1,eAE,b,15000,8.0202,9.5455
10/9/2023,3,1,eAE,b,17500,8.0204,9.5411
10/9/2023,3,1,eAE,b,20000,8.0199,9.5521
10/9/2023,3,1,eAE,b,22500,8.0205,9.5389
10/9/2023,3,1,eAE,b,25000,8.0199,9.5521
10/9/2023,3,1,eAE,c,0,8.8596,1.3817
10/9/2023,3,1,eAE,c,100,8.6492,2.2428
10/9/2023,3,1,eAE,c,200,8.4423,3.6116
10/9/2023,3,1,eAE,c,300,8.377,4.1976
10/9/2023,3,1,eAE,c,400,8.3191,4.7962
10/9/2023,3,1,eAE,c,500,8.2881,5.1511
10/9/2023,3,1,eAE,c,750,8.2474,5.6572
10/9/2023,3,1,eAE,c,1000,8.2378,5.7836
10/9/2023,3,1,eAE,c,1250,8.2183,6.0492
10/9/2023,3,1,eAE,c,1500,8.2005,6.3023
10/9/2023,3,1,eAE,c,1750,8.1943,6.3929
10/9/2023,3,1,eAE,c,2000,8.1746,6.6896
10/9/2023,3,1,eAE,c,2250,8.1556,6.9888
10/9/2023,3,1,eAE,c,2500,8.1403,7.2394
10/9/2023,3,1,eAE,c,2750,8.1382,7.2744
10/9/2023,3,1,eAE,c,3000,8.1143,7.686
10/9/2023,3,1,eAE,c,3500,8.0943,8.0482
10/9/2023,3,1,eAE,c,4000,8.0683,8.5448
10/9/2023,3,1,eAE,c,4500,8.0406,9.1075
10/9/2023,3,1,eAE,c,5000,8.0252,9.4363
10/9/2023,3,1,eAE,c,5500,8.0234,9.4755
10/9/2023,3,1,eAE,c,6000,8.0239,9.4646
10/9/2023,3,1,eAE,c,6500,8.0199,9.5521
10/9/2023,3,1,eAE,c,7000,8.0214,9.5192
10/9/2023,3,1,eAE,c,7500,8.0204,9.5411
10/9/2023,3,1,eAE,c,8000,8.0208,9.5324
10/9/2023,3,1,eAE,c,9000,8.0194,9.5631
10/9/2023,3,1,eAE,c,10000,8.0201,9.5477
10/9/2023,3,1,eAE,c,11000,8.0256,9.4276
10/9/2023,3,1,eAE,c,12000,8.0195,9.5609
10/9/2023,3,1,eAE,c,13000,8.0205,9.5389
10/9/2023,3,1,eAE,c,14000,8.0205,9.5389
10/9/2023,3,1,eAE,c,15000,8.0202,9.5455
10/9/2023,3,1,eAE,c,17500,8.0211,9.5258
10/9/2023,3,1,eAE,c,20000,8.0207,9.5345
10/9/2023,3,1,eAE,c,22500,8.0205,9.5389
10/9/2023,3,1,eAE,c,25000,8.0208,9.5324
